"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"911",1,101,94,0.474,0.423,40,21,8,14,0.386,0.226,50,17,7,13
"912",0,99,104,0.376,0.333,56,24,9,26,0.384,0.345,46,24,13,15
"913",0,89,105,0.397,0.409,48,18,7,19,0.444,0.286,51,24,10,12
"914",0,108,112,0.467,0.441,50,29,5,16,0.413,0.3,46,19,5,9
"915",0,88,105,0.379,0.281,46,24,3,10,0.474,0.5,47,24,8,10
"916",0,106,107,0.461,0.455,38,20,5,15,0.5,0.308,37,22,5,10
"917",0,98,106,0.407,0.355,44,20,12,17,0.461,0.37,45,17,13,19
"918",0,114,123,0.5,0.31,43,29,5,14,0.471,0.345,39,21,9,9
"919",0,89,100,0.364,0.194,48,22,7,17,0.456,0.3,46,19,10,20
"920",1,108,107,0.432,0.429,47,23,5,17,0.444,0.353,43,26,8,16
"921",0,93,108,0.402,0.333,43,18,6,13,0.43,0.588,56,28,2,11
"922",1,93,91,0.388,0.219,48,19,10,16,0.402,0.292,47,20,7,17
"923",1,98,97,0.389,0.25,47,27,7,14,0.488,0.182,40,20,7,13
"924",1,102,93,0.474,0.368,38,26,12,20,0.329,0.261,41,11,12,19
"925",1,94,89,0.449,0.333,46,20,5,22,0.395,0.25,43,17,10,9
"926",1,93,92,0.391,0.414,53,25,6,19,0.371,0.316,46,16,8,13
"927",1,121,110,0.5,0.345,38,35,8,5,0.465,0.529,46,17,4,17
"928",0,118,123,0.538,0.4,29,29,14,22,0.519,0.387,41,25,10,23
"929",1,122,119,0.542,0.355,29,32,13,14,0.554,0.448,33,31,7,20
"930",0,103,111,0.405,0.382,35,23,8,5,0.527,0.5,48,24,2,15
"931",1,117,109,0.453,0.36,38,27,15,10,0.459,0.292,49,15,4,19
"932",1,120,112,0.494,0.345,48,28,9,15,0.422,0.208,43,19,8,16
"933",0,108,119,0.451,0.294,42,24,11,22,0.449,0.207,45,31,14,13
"934",1,105,102,0.434,0.321,50,20,5,15,0.393,0.333,41,14,10,10
"935",0,106,136,0.489,0.412,36,30,5,19,0.568,0.435,44,26,11,7
"936",0,98,112,0.438,0.267,42,30,5,12,0.494,0.424,41,28,7,12
"937",1,116,74,0.525,0.414,55,32,8,16,0.345,0.217,34,21,6,12
"938",1,105,99,0.466,0.364,43,29,9,15,0.405,0.207,41,27,8,17
"939",0,92,99,0.414,0.282,40,30,7,14,0.425,0.5,47,19,7,17
"940",0,118,141,0.443,0.316,36,32,7,11,0.64,0.516,36,36,9,17
"941",0,90,102,0.363,0.212,50,19,10,13,0.429,0.32,57,27,7,16
"942",0,82,90,0.351,0.258,47,23,9,17,0.443,0.222,43,18,10,15
"943",0,111,120,0.467,0.394,33,20,10,18,0.576,0.313,44,30,9,14
"944",0,94,113,0.468,0.25,41,20,6,18,0.512,0.286,41,24,5,13
